Name,Age,Gender,Medical Condition,Date of Admission,Doctor,Billing Amount,Admission Type,Discharge Date,Medication,Test Results,MaHoSo,MaNV,MaBN,examination date,year of birth,Address,citizen identification,phone number,health insurance,Treatment department
JUsTIN lE,38,Female,Arthritis,02/12/2021,Michael Mitchell,49663.45287,Emergency,07/12/2021,Paracetamol,Normal,HOSO6378,NV335,BN1247,31/01/1968,25/01/1978,"78208 Edgar Rapid
Lake Levi, NM 41668",6.40E+11,84603815600,6883440077,Nhi khoa
KaREn pricE dDs,43,Male,Cancer,28/05/2021,Caroline Choi,27278.23689,Urgent,18/06/2021,Ibuprofen,Abnormal,HOSO1462,NV527,BN8941,21/10/1938,19/10/2023,"770 Munoz Ports Suite 187
West Vernonshire, AK 86665",5.85E+11,84871574897,2364241399,N���
CaROlYN sTEeLE,27,Female,Hypertension,23/03/2020,Michael Robinson,33170.43674,Urgent,11/04/2020,Paracetamol,Abnormal,HOSO3649,NV893,BN3844,31/10/2001,04/06/2002,"Unit 9476 Box 1722
DPO AE 04658",5.81E+11,84861604838,5146930019,Ngo���
LAURen RAMireZ,78,Male,Asthma,06/08/2022,Heather Miller,1791.389001,Urgent,05/09/2022,Paracetamol,Normal,HOSO5648,NV918,BN7526,18/09/1967,25/09/1991,"04141 Andrea Roads Apt. 751
North Destinymouth, NM 29458",3.96E+11,84448776469,9461742469,N���
jAcOb nEWman,40,Male,Diabetes,09/03/2024,Howard Obrien,31188.04149,Elective,05/04/2024,Ibuprofen,Normal,HOSO4547,NV888,BN4674,19/02/1966,15/09/1991,"387 Larry Valley
Hensleytown, NY 56700",2.82E+11,84989079959,5898717213,Tim m��
KAThErInE BARnEtt,25,Male,Arthritis,15/03/2022,Faith Cook,13854.64576,Elective,10/04/2022,Penicillin,Inconclusive,HOSO3282,NV432,BN1049,19/03/1945,11/07/1985,"0862 Meyers Port
Kaufmanport, AR 93519",8.34E+11,84284461808,7129945200,Ngo���
JODI martiNeZ,67,Female,Obesity,08/08/2020,Donna Colon,11870.90838,Elective,14/08/2020,Ibuprofen,Abnormal,HOSO2394,NV797,BN8524,09/07/2004,19/11/1974,"Unit 9657 Box 9381
DPO AE 12537",7.23E+11,84973348836,3932552191,Tim m��
andrEa aLlEN,47,Female,Obesity,09/06/2019,David Lindsey,25574.12762,Elective,01/07/2019,Aspirin,Inconclusive,HOSO6197,NV339,BN4551,02/02/1969,10/09/1999,"9947 Brown Fall
South Andreamouth, TX 42686",6.59E+11,84867370233,5685315722,Da li��
nOah baxtEr,75,Male,Arthritis,07/09/2019,Anthony Nixon,6132.404095,Urgent,06/10/2019,Paracetamol,Normal,HOSO5782,NV411,BN5280,07/12/1982,20/07/1970,"72097 Gonzalez Rue Suite 697
West Whitney, IN 28529",7.41E+11,84746105410,7319990769,Da li��
hECTOR MAXweLL,58,Female,Obesity,14/02/2021,Doris Hawkins,33343.90249,Elective,26/02/2021,Lipitor,Inconclusive,HOSO8999,NV139,BN9360,20/01/2018,16/12/1962,"653 Pam Junctions Suite 199
Port Patrick, MS 46061",3.79E+11,84594789355,9836532613,Tim m��
holLy WALters,26,Female,Hypertension,10/11/2019,Caleb James,43484.24975,Urgent,26/11/2019,Penicillin,Abnormal,HOSO6790,NV195,BN1323,01/11/1965,25/11/1993,"9331 Daniel Fords Apt. 638
South Tyler, IL 05503",3.53E+11,84540959897,3964567894,Da li��
JOsepH SmIth,22,Male,Obesity,16/04/2023,Patricia Moore,7858.92686,Urgent,14/05/2023,Penicillin,Normal,HOSO4886,NV261,BN6895,12/03/1949,27/02/1981,"695 Kaufman Shore Apt. 761
Millerfort, ME 63164",8.78E+11,84335509285,6573608738,Nhi khoa
albERt tHOmAS,29,Female,Asthma,25/04/2020,Matthew Gray,33161.9384,Urgent,28/04/2020,Paracetamol,Inconclusive,HOSO2233,NV357,BN1965,26/03/1943,19/01/2019,"5770 Gonzalez Rapid Suite 467
North Jeffreyville, NH 69599",2.23E+11,84994317978,5673003431,Tim m��
jeFfErY WIlliaMSOn,30,Male,Cancer,21/08/2021,Justin Lowe,2879.460532,Urgent,28/08/2021,Ibuprofen,Normal,HOSO3491,NV232,BN4777,20/12/2022,23/04/1955,"036 Berg Shoals Suite 816
Jonathanhaven, DE 22779",1.26E+11,84019833513,9936915303,N���
joNAthAn meADOWS,22,Female,Asthma,14/01/2021,Danny Mcdonald,46492.86177,Elective,27/01/2021,Aspirin,Inconclusive,HOSO3239,NV113,BN5792,30/07/2018,25/10/1954,"5121 Shelton Mill
Port Michellechester, IA 01265",2.20E+11,84217367328,8543215169,Ngo���
kRIStIN BeNnETT,34,Male,Hypertension,12/09/2020,Gina Weaver,5259.27305,Elective,26/09/2020,Paracetamol,Abnormal,HOSO9337,NV391,BN6666,16/10/1991,15/02/2021,"2517 Brown Streets
North Jerry, AR 04464",6.75E+11,84489002332,3608125716,Da li��
miCHaEl SmITh,20,Male,Arthritis,27/03/2020,Eddie Jackson,2784.58249,Emergency,16/04/2020,Aspirin,Inconclusive,HOSO7642,NV556,BN9070,01/04/2011,14/03/1988,"37446 Cody Drive
West Carl, VT 52798",1.18E+11,84981835483,5541989435,Da li��
JOSepH cARpenteR,37,Female,Arthritis,26/07/2019,Miss Valerie Saunders MD,13418.21637,Emergency,17/08/2019,Penicillin,Abnormal,HOSO7153,NV796,BN5927,19/04/2024,26/08/2012,"90424 Fernando Keys Suite 400
Strongton, CO 81387",5.02E+11,84448317608,1085912146,N���
larRy MaYEr,25,Female,Cancer,07/12/2023,Richard Petty,36990.45578,Urgent,14/12/2023,Aspirin,Normal,HOSO3215,NV316,BN8884,21/08/2010,14/11/1989,"254 Alyssa Roads
New Roberttown, GA 92933",5.24E+11,84902925625,5043136539,N���
CLaYTON PEterSon,45,Female,Cancer,11/06/2021,Patricia Bean,43567.14416,Urgent,03/07/2021,Paracetamol,Normal,HOSO3539,NV350,BN4458,17/01/1975,03/12/1971,"268 Phillips Parkway
West Natashaborough, ID 66012",4.62E+11,84205659828,8687267673,Ngo���
donaLD aLVArEZ,18,Male,Diabetes,11/02/2022,Ronald Jones,35570.07656,Emergency,23/02/2022,Ibuprofen,Inconclusive,HOSO3349,NV638,BN5934,04/03/2023,23/07/2008,"5881 Jenkins Shoals
East Bradleystad, TX 21532",6.28E+11,84332839199,4424192280,Da li��
SaRAh leE,56,Male,Arthritis,12/09/2020,Jack Wall,6848.130427,Emergency,22/09/2020,Aspirin,Normal,HOSO3288,NV544,BN3634,01/02/1964,26/05/2004,"Unit 5514 Box 6190
DPO AP 95600",3.40E+11,84356028101,5438712923,Tim m��
joHN peReZ,44,Male,Asthma,25/05/2020,Felicia Morrison,4677.595847,Emergency,05/06/2020,Lipitor,Inconclusive,HOSO5914,NV154,BN7751,25/04/1985,11/12/1951,"5901 Megan Fords
West Kevin, NC 44316",2.18E+11,84823554063,8522191579,Nhi khoa
Timothy jAcobS,34,Male,Hypertension,25/09/2023,Crystal Schultz,35157.17027,Elective,21/10/2023,Penicillin,Normal,HOSO6548,NV478,BN2484,09/01/2002,13/03/1946,"713 Jessica Ferry Apt. 365
East Amanda, NC 69733",1.36E+11,84438181800,8135517520,N���
nAThaN sMall,26,Male,Obesity,22/06/2022,Bailey Gonzalez,34719.17385,Elective,20/07/2022,Lipitor,Normal,HOSO7593,NV755,BN2230,19/08/1956,05/06/1968,"037 Estrada Village
Amyburgh, MI 51213",6.12E+11,84555339741,5789863361,N���
dUSTin WriGhT,32,Male,Obesity,12/01/2020,Michael Guzman,23775.44901,Elective,19/01/2020,Aspirin,Normal,HOSO5579,NV434,BN9341,06/05/1939,07/11/1945,"22302 Ricardo Gardens
West Frank, NJ 57957",6.08E+11,84101637619,4239548004,Ngo���
jacOb wilLiAMS,64,Male,Arthritis,29/07/2022,Elizabeth Flowers,17732.46937,Urgent,07/08/2022,Ibuprofen,Normal,HOSO3626,NV496,BN7144,08/06/2003,24/01/1986,"789 Velasquez Cove
Lake Isaiahfurt, NY 98083",3.94E+11,84017525060,2691853188,N���
wiLlIAm mcCOY,80,Male,Asthma,20/02/2023,Whitney Vaughan,3845.397496,Emergency,10/03/2023,Penicillin,Normal,HOSO2606,NV341,BN4152,03/01/1975,27/10/1986,"22110 Michael Mount
Bellhaven, MN 26112",3.58E+11,84022720373,2161435186,Ngo���
dr. MATthEW wilkinS,80,Male,Cancer,14/07/2021,Seth Nelson,22401.55035,Elective,24/07/2021,Lipitor,Inconclusive,HOSO9007,NV563,BN8056,30/05/1948,15/04/2018,"2531 Kevin Avenue
North Ryantown, WV 41712",4.76E+11,84889914415,8146591212,N���
JosEpH gONZaLeZ,37,Female,Hypertension,17/04/2024,Erin Wright,23340.30472,Urgent,07/05/2024,Aspirin,Normal,HOSO9824,NV725,BN4514,01/10/2014,22/02/1996,"001 Rodriguez Lights
Youngland, TN 32607",7.22E+11,84707567294,5685330609,Ngo���
rObErt fiElDS,52,Female,Hypertension,04/02/2021,Jennifer Flores,3042.409184,Urgent,28/02/2021,Aspirin,Abnormal,HOSO8511,NV181,BN1203,08/11/2011,23/12/1963,"USNS Freeman
FPO AE 93052",5.11E+11,84179789089,3375277900,Da li��
lawrencE mIRAndA,83,Female,Diabetes,02/09/2021,Brandi Knight,41817.67918,Urgent,19/09/2021,Paracetamol,Inconclusive,HOSO9719,NV996,BN5286,17/07/1998,22/12/2023,"547 Latoya Stream Suite 059
Erinside, OH 80444",9.77E+11,84584725833,9356156303,Da li��
mitCheLl caRrOlL,28,Female,Arthritis,10/09/2022,Chad Irwin,49700.32421,Elective,01/10/2022,Paracetamol,Abnormal,HOSO9454,NV743,BN7714,31/10/2010,02/06/2022,"8495 Jones Springs
North Daniel, IN 99170",8.03E+11,84991425551,6184796864,Da li��
COdY nIcHoLs,63,Male,Diabetes,25/11/2022,Victoria Williams,45157.47112,Elective,20/12/2022,Lipitor,Normal,HOSO2170,NV247,BN3516,03/03/1972,23/08/1940,"871 Zachary Lakes
South Hannahland, IN 64166",6.06E+11,84084363015,2886567101,N���
KELlI tHompSOn,85,Male,Asthma,04/08/2023,Travis Walton,18832.10034,Emergency,12/08/2023,Ibuprofen,Abnormal,HOSO5597,NV225,BN8275,16/09/1975,01/01/2023,"062 Gary Hill
Rodneyland, NV 33208",3.98E+11,84717057284,6910920322,N���
dAnIElle lOPeZ,37,Male,Hypertension,20/11/2020,Catherine Hernandez,31732.13008,Elective,06/12/2020,Lipitor,Normal,HOSO1559,NV449,BN8373,01/02/1979,21/10/1991,"21821 Lori Ridges Apt. 441
Lake Nicholastown, FL 00664",7.10E+11,84915458545,1041855464,Tim m��
melINda JONES,22,Male,Diabetes,23/10/2019,Kristen Johnson,42214.9797,Urgent,09/11/2019,Paracetamol,Abnormal,HOSO9139,NV377,BN4432,05/10/1937,12/07/1991,"98165 Heather Harbor Suite 301
North Laurahaven, CO 35559",6.67E+11,84231038246,8695802097,Ngo���
KRiSTIN sMith,80,Female,Arthritis,17/10/2020,Tammy Chavez,12400.2051,Elective,29/10/2020,Aspirin,Normal,HOSO6973,NV129,BN9237,15/11/1996,20/06/1964,"44135 Samantha Land Suite 651
South Katrina, OR 59489",3.32E+11,84314413584,9994273526,Nhi khoa
StEphaniE REYNolDs,48,Female,Arthritis,27/12/2022,Savannah Colon,1133.586476,Urgent,31/12/2022,Penicillin,Abnormal,HOSO1215,NV859,BN3330,07/08/1945,01/12/2021,"3294 Lee Flats
Toddberg, AR 84378",3.57E+11,84960627656,9590889392,Nhi khoa
AnNA NORMaN,29,Male,Obesity,16/06/2023,Jessica Parks MD,24340.32286,Emergency,14/07/2023,Aspirin,Inconclusive,HOSO5212,NV523,BN2715,16/06/2004,28/12/1947,"55119 Peck Drives
East Timothyburgh, OR 53709",1.41E+11,84612558326,3474373438,Nhi khoa
MAria haYeS,76,Male,Arthritis,06/11/2023,Joshua Singleton,39390.93555,Elective,21/11/2023,Aspirin,Abnormal,HOSO2221,NV516,BN8694,03/09/2010,18/02/1941,"80538 Dyer Forges
Lake Michele, IN 73795",5.51E+11,84362747501,6593348888,Ngo���
toNya riLEy mD,23,Female,Hypertension,26/12/2023,Vincent Ramirez,17012.5074,Elective,22/01/2024,Penicillin,Normal,HOSO7122,NV671,BN6553,05/04/2021,06/02/1993,"55209 Ortiz Station Suite 280
Paulport, NH 85676",5.28E+11,84284711462,4327045912,Nhi khoa
REgiNa DUnn,33,Male,Asthma,10/02/2023,Natasha Smith,14493.6139,Emergency,05/03/2023,Penicillin,Inconclusive,HOSO1192,NV206,BN5832,20/05/2003,24/06/1940,"PSC 0923, Box 0395
APO AE 95916",2.99E+11,84264480173,5223185927,N���
mIcHael JACoBS,34,Male,Hypertension,01/07/2020,John Sparks,32679.26859,Emergency,10/07/2020,Paracetamol,Normal,HOSO9060,NV128,BN1453,25/09/2016,04/09/1968,"52189 Leah Rapids
South Joelmouth, MS 51164",5.21E+11,84935096266,5198609060,Nhi khoa
jaSon mOOrE md,44,Female,Obesity,21/09/2023,Michelle Gutierrez,6232.001787,Emergency,25/09/2023,Ibuprofen,Inconclusive,HOSO5173,NV495,BN2630,26/10/1988,13/04/1963,"54032 William Forest
South Kennethburgh, ME 45700",2.63E+11,84178151055,5431166064,N���
eRiC HALl,84,Male,Diabetes,25/11/2020,Rachel Williams,22982.25212,Urgent,02/12/2020,Ibuprofen,Abnormal,HOSO5570,NV452,BN5104,28/06/2020,30/04/2006,"054 May Drive Apt. 765
Michellefort, CO 47949",3.39E+11,84874140001,8615715659,Nhi khoa
MALIk MARtINeZ,25,Female,Cancer,10/07/2020,Sergio Shelton,28213.81547,Urgent,18/07/2020,Aspirin,Abnormal,HOSO6697,NV755,BN7399,18/01/1936,27/04/1986,"66777 Allen Forges Apt. 241
Lake Miguel, MA 38307",7.53E+11,84351993238,9071053491,N���
LisA KENNEdY,42,Male,Arthritis,24/12/2022,Mr. Michael White MD,10645.56585,Emergency,06/01/2023,Ibuprofen,Normal,HOSO9423,NV335,BN8925,04/07/1995,02/03/1983,"PSC 7893, Box 2262
APO AE 89046",8.43E+11,84663633376,6817687613,Tim m��
kRIstIn ocHOA,57,Male,Arthritis,05/10/2019,Mary Drake,35041.03097,Elective,20/10/2019,Lipitor,Normal,HOSO8713,NV416,BN3330,18/06/1991,30/10/1935,"825 Lisa Stream Apt. 124
Diazberg, LA 73344",8.93E+11,84590509259,5358963656,Tim m��
joSeph ZuNiGA,75,Female,Arthritis,13/03/2022,Tonya Wade,45980.29229,Emergency,26/03/2022,Aspirin,Inconclusive,HOSO1029,NV554,BN7422,14/10/1994,12/02/1979,"4783 Laura Harbors Apt. 699
Nicoleport, MI 56239",1.44E+11,84160201698,2388071710,Tim m��
kYLe TYlER,24,Female,Obesity,15/05/2020,Charles Torres,25163.82248,Elective,10/06/2020,Ibuprofen,Normal,HOSO1357,NV243,BN5479,27/02/2016,27/08/1970,"90761 Taylor Station Suite 535
Austinport, KY 28273",4.30E+11,84225860769,9473045826,Tim m��
eric duNCan,43,Female,Asthma,02/12/2020,Jennifer Freeman,43670.37819,Elective,23/12/2020,Aspirin,Normal,HOSO9749,NV441,BN4262,20/08/1968,22/01/1946,"01779 Glenn Views Suite 884
Robertbury, IA 50257",3.56E+11,84201224598,2532572514,Nhi khoa
raChel roMERo,22,Male,Asthma,08/01/2024,Reginald Becker,33706.59767,Emergency,15/01/2024,Aspirin,Inconclusive,HOSO8535,NV190,BN1587,12/06/1953,04/03/1973,"000 Jessica Knoll Suite 972
Thomaschester, VA 89196",4.11E+11,84228025058,4828680190,Ngo���
mIcHael anDeRson,64,Female,Arthritis,16/08/2019,Charles Webb,5549.785436,Emergency,06/09/2019,Ibuprofen,Inconclusive,HOSO2638,NV422,BN5957,01/07/1943,19/06/1989,"62366 Samantha Avenue Apt. 473
Joeltown, NY 95030",7.18E+11,84720780820,7647678699,Nhi khoa
emILY clARK,66,Female,Arthritis,23/03/2023,Emily Perez,49078.46901,Elective,19/04/2023,Penicillin,Abnormal,HOSO2965,NV561,BN9063,25/06/2012,10/10/2010,"942 Roy Crest Apt. 696
Christineshire, KY 93423",4.13E+11,84555037555,9615090767,Tim m��
danIeL mCKINnEy,19,Male,Obesity,20/01/2020,Rachel Thomas,23687.99364,Emergency,11/02/2020,Ibuprofen,Normal,HOSO9381,NV164,BN3327,11/10/1951,11/08/1962,"4577 Nichole Forges Suite 860
Staceyburgh, TX 94104",2.01E+11,84223323082,7792499061,Da li��
BOnnIe WILlIaMS,79,Female,Diabetes,23/01/2024,Christopher Flores,17720.31873,Elective,22/02/2024,Paracetamol,Abnormal,HOSO3698,NV644,BN2591,02/02/1962,19/02/1962,"428 Kevin Meadow
South Joshuaville, AL 22278",3.69E+11,84449320360,9467217820,Tim m��
MARcUs henry,76,Male,Asthma,20/12/2022,Jennifer Stevenson,27361.24968,Emergency,02/01/2023,Paracetamol,Normal,HOSO8843,NV530,BN1531,07/12/1953,01/02/1997,"3999 Benson Locks
Peggyfurt, RI 56706",6.25E+11,84338016733,4739096570,Ngo���
katheRiNE HART,37,Female,Obesity,10/08/2021,Matthew Garcia,39265.64605,Elective,03/09/2021,Ibuprofen,Normal,HOSO8912,NV745,BN9639,13/01/2014,15/02/1998,"PSC 3920, Box 6265
APO AE 69475",3.23E+11,84868422357,2824993780,Nhi khoa
MIchelle pIeRCE,62,Male,Arthritis,23/11/2020,Brett Meyer,32868.08277,Emergency,28/11/2020,Paracetamol,Inconclusive,HOSO4486,NV219,BN6016,12/12/1999,15/07/1989,"25391 Smith Extensions
East Lisaburgh, SC 93063",1.70E+11,84499763331,2460956893,Tim m��
Julie Mejia,80,Male,Asthma,10/02/2020,David Murphy,22032.38959,Emergency,29/02/2020,Ibuprofen,Normal,HOSO9784,NV145,BN3643,08/11/2006,29/12/1957,"237 Stacey Locks Suite 504
Port Jenniferfort, KS 80171",9.92E+11,84624559389,4852494431,N���
cAMeRoN sAnChEz,49,Female,Diabetes,04/06/2019,Erin Henson,43165.69409,Elective,17/06/2019,Ibuprofen,Abnormal,HOSO4213,NV627,BN9197,03/12/1990,11/12/1980,"95265 Tyler Coves
Douglasview, NH 05675",3.89E+11,84466635995,4156328486,Nhi khoa
davId Vincent,66,Female,Obesity,24/09/2023,Katrina Fuentes,1870.60844,Emergency,11/10/2023,Penicillin,Inconclusive,HOSO5677,NV287,BN1335,24/03/1969,22/12/2001,"9685 Ashley Lock
Valenciaberg, ME 46112",3.99E+11,84018228726,9892574868,Da li��
MeLiSSA gOMez,50,Male,Diabetes,16/08/2021,Harold Jackson,50254.20183,Elective,20/08/2021,Aspirin,Inconclusive,HOSO2604,NV177,BN1840,21/01/1996,10/04/1982,"0064 Everett Lane Apt. 891
Port Joshuafort, ME 57787",3.89E+11,84389731904,6797789658,Ngo���
AMAnDa pONCe,39,Male,Arthritis,06/07/2020,Christopher Merritt,23159.66303,Elective,22/07/2020,Penicillin,Inconclusive,HOSO3429,NV309,BN4613,02/04/1965,13/04/1997,"465 Tracy Brook Suite 677
Rangelport, VA 63268",7.60E+11,84766196621,5292013198,Tim m��
CArOl GOMEz,31,Female,Diabetes,07/12/2022,Haley Kim,11469.39059,Elective,29/12/2022,Paracetamol,Abnormal,HOSO9624,NV860,BN5405,15/11/1994,29/10/1959,"91493 Swanson Gateway
Peterfort, NV 54418",1.60E+11,84181046106,5327755060,N���
cHRISTopHEr PalmER,84,Male,Cancer,29/12/2023,Dr. Steven Johnson,35435.17015,Elective,16/01/2024,Ibuprofen,Abnormal,HOSO8846,NV249,BN2136,30/10/1989,14/01/1992,"17668 Henderson Run
North Shawnmouth, NM 51996",2.41E+11,84681178413,5900803562,Tim m��
PAUL Hahn,71,Male,Cancer,16/02/2023,Erin Cole,26139.78595,Urgent,25/02/2023,Paracetamol,Abnormal,HOSO9855,NV932,BN4967,09/09/1945,28/04/2013,"81889 Michael Wall Apt. 257
North Jesseshire, RI 91187",2.57E+11,84602720605,9574745218,Da li��
aSHLeY MOORe,79,Male,Cancer,12/05/2022,Breanna Nielsen,21296.51873,Emergency,16/05/2022,Paracetamol,Abnormal,HOSO2635,NV221,BN7524,19/04/1992,31/03/2005,"87667 Kelsey Point
East Ruthland, NM 72900",8.60E+11,84991726043,7239266458,Da li��
lINDa haMiLTOn,56,Male,Arthritis,20/09/2023,John Smith,8421.915385,Emergency,25/09/2023,Paracetamol,Inconclusive,HOSO4469,NV725,BN1254,27/05/1953,09/02/2025,"1999 Foster Mews Suite 806
Francomouth, NH 33813",3.23E+11,84117396928,2228555352,Tim m��
robiN coX,36,Male,Obesity,11/01/2020,Frank Gonzalez,23892.55267,Emergency,16/01/2020,Aspirin,Normal,HOSO5127,NV558,BN1459,08/03/1984,25/12/2000,"298 Margaret Extension Suite 783
Meredithborough, AL 56559",4.04E+11,84177424448,3983540154,Nhi khoa
AnthoNY HalL,38,Male,Obesity,30/03/2022,Matthew Williams,8171.462615,Elective,26/04/2022,Ibuprofen,Inconclusive,HOSO5641,NV792,BN6128,21/11/1976,07/01/2021,"47075 Monique Lane Apt. 285
New Roger, MI 51751",5.84E+11,84721932733,4955686167,Nhi khoa
roberT smitH,21,Male,Arthritis,11/05/2020,Jonathan Gray,23457.30929,Elective,20/05/2020,Lipitor,Normal,HOSO3183,NV408,BN1063,23/09/1962,26/11/1940,"USNS Hurst
FPO AA 95470",1.44E+11,84535034294,8397368178,Da li��
dEREK CARTER,55,Female,Cancer,20/01/2022,Timothy Rodriguez,25787.43914,Emergency,16/02/2022,Paracetamol,Normal,HOSO3409,NV359,BN1476,13/12/1976,10/04/1952,"63390 Nguyen Springs
South Elizabethside, NY 86782",3.65E+11,84010157044,1457741120,Nhi khoa
HEAthER MAY,79,Female,Hypertension,13/11/2019,Victor Welch,28525.52477,Urgent,24/11/2019,Aspirin,Abnormal,HOSO1184,NV588,BN9632,01/04/1974,21/09/2017,"244 Regina Divide Suite 641
Lopezmouth, PA 99670",3.59E+11,84001443535,3064996309,Tim m��
pETer gOnzAlEZ,55,Male,Arthritis,03/02/2021,Robert Adams MD,17182.86981,Emergency,20/02/2021,Lipitor,Abnormal,HOSO8025,NV248,BN4102,25/04/1958,15/11/1991,"1204 Cunningham Curve
East Mirandachester, SD 83207",8.98E+11,84402232006,3381499730,Tim m��
chrIs flEtCheR,24,Male,Asthma,24/10/2020,Andrew Jefferson,20980.30306,Elective,15/11/2020,Aspirin,Inconclusive,HOSO6793,NV940,BN2170,05/07/2013,27/06/1957,"USS Fields
FPO AP 34405",1.31E+11,84434612914,5386612506,Nhi khoa
sHIRley wiLkinsoN,39,Female,Hypertension,03/10/2022,Sharon Hensley,4243.202644,Urgent,06/10/2022,Ibuprofen,Abnormal,HOSO8877,NV541,BN1289,12/12/1975,22/10/2016,"069 Michael Road Apt. 851
Kevinfurt, TN 11899",7.33E+11,84057831052,5022918816,Tim m��
COurtNey FaRRelL,63,Female,Cancer,24/12/2023,Eugene Branch,40137.78917,Elective,02/01/2024,Ibuprofen,Normal,HOSO9617,NV744,BN4729,01/09/1977,18/04/1968,"78772 Kenneth Mount
West Amanda, WI 97019",9.86E+11,84203240661,3092452647,Tim m��
aNDReA WiLliS,26,Male,Asthma,18/11/2023,Anthony Greer,30676.44176,Elective,26/11/2023,Ibuprofen,Normal,HOSO7474,NV798,BN7356,04/07/1997,07/06/2023,"97487 John Forks
Morenoburgh, WV 01233",2.65E+11,84438613179,3261390219,Tim m��
cHAD huFF,76,Female,Hypertension,12/03/2024,Bob Moyer,45594.88907,Urgent,09/04/2024,Paracetamol,Abnormal,HOSO6966,NV866,BN1698,04/09/1988,08/01/1958,"2213 Palmer Prairie
Michaelview, SC 77636",1.95E+11,84647033011,7156755910,Da li��
dEvin giLBert,69,Male,Cancer,12/04/2023,Heather Shea,29076.62961,Urgent,07/05/2023,Ibuprofen,Abnormal,HOSO5427,NV719,BN6042,06/05/1970,09/11/2011,"235 Moore Coves
Montgomeryburgh, ID 88803",3.98E+11,84438758643,9797707309,Ngo���
DOnALD davIS,38,Female,Obesity,16/06/2021,Nicholas Stevenson,5223.502081,Emergency,11/07/2021,Paracetamol,Abnormal,HOSO1640,NV305,BN2545,16/04/1981,11/06/1950,"423 Alan Roads
Port Richardfurt, CO 11303",4.53E+11,84910380490,6792815147,Da li��
KUrT murphy,19,Male,Hypertension,24/11/2021,Laura Guerra,41840.65803,Elective,13/12/2021,Penicillin,Abnormal,HOSO5148,NV882,BN6526,13/02/1959,18/10/2017,"6681 Kevin Unions Suite 954
Johnsonfurt, SD 74101",6.53E+11,84659654692,6357351944,Tim m��
SYlvia wEsT,61,Male,Obesity,06/07/2020,Michele Bradford,26504.86591,Emergency,22/07/2020,Aspirin,Normal,HOSO9535,NV392,BN8904,23/10/1996,18/11/1955,"396 Graves Plaza Apt. 411
Lake Lynnview, AL 52115",2.55E+11,84429514812,6635201511,Da li��
DONaLd vAZQuEZ,42,Female,Arthritis,26/06/2022,Mr. Jesse Cook,7946.129113,Elective,01/07/2022,Ibuprofen,Inconclusive,HOSO3572,NV811,BN2296,31/07/1975,26/08/1939,"26237 Christopher Fork
North William, PA 41678",9.90E+11,84378322207,4275817600,Da li��
REbeCCA rUsH,57,Male,Diabetes,21/07/2020,Heather Simon,18689.13845,Urgent,31/07/2020,Lipitor,Normal,HOSO9905,NV775,BN8802,10/06/1957,25/04/1997,"PSC 0769, Box 5102
APO AP 75130",5.23E+11,84885235467,9610261429,Nhi khoa
ChrIstoPhER curRY,36,Female,Arthritis,04/11/2019,Larry Mendez,30051.97507,Urgent,03/12/2019,Ibuprofen,Abnormal,HOSO8203,NV525,BN1268,04/06/1956,25/11/1972,"57760 Steven Stravenue Suite 397
Nunezmouth, MA 16982",1.12E+11,84632358721,2262185785,Tim m��
miCHaeL EdwARds,68,Female,Hypertension,01/11/2021,Taylor Smith,22913.55425,Urgent,03/11/2021,Paracetamol,Normal,HOSO4762,NV923,BN5335,31/08/2013,27/03/2007,"8730 Greene Roads Suite 096
Lawrencetown, ME 88989",4.47E+11,84849967801,8615809045,Ngo���
cHriSTOPheR ARnoLd,25,Female,Obesity,17/11/2019,Ian Singleton,36238.57685,Elective,30/11/2019,Ibuprofen,Inconclusive,HOSO1901,NV650,BN7648,17/01/1953,16/05/1990,"PSC 6245, Box 2926
APO AE 72675",2.48E+11,84844017957,3905541495,Nhi khoa
RAcheL hickmAn,37,Female,Obesity,19/12/2022,Angela Burton,25217.45618,Urgent,06/01/2023,Aspirin,Normal,HOSO1694,NV981,BN5730,12/08/2009,09/06/1963,"2006 Burgess Flat Suite 994
Port Tina, TN 23420",2.81E+11,84070717392,2971955015,Da li��
ashlEY grAy,68,Male,Asthma,06/10/2020,Lisa Payne,41548.40831,Urgent,20/10/2020,Aspirin,Normal,HOSO1543,NV669,BN9467,11/02/2007,10/01/2025,"697 Sandra Coves Apt. 075
Jacksonport, TX 75016",3.61E+11,84620550777,4035305569,N���
eLiZaBeTh PeREz,81,Female,Arthritis,16/01/2022,Sara Perry,7562.39438,Elective,22/01/2022,Ibuprofen,Abnormal,HOSO5608,NV189,BN8338,20/08/1974,05/11/1942,"PSC 3354, Box 7834
APO AA 79826",2.75E+11,84546825754,6325052780,Da li��
ANgeL RaNDOlPH ddS,74,Female,Asthma,06/07/2023,Ann Brown,386.0540547,Elective,03/08/2023,Aspirin,Normal,HOSO4584,NV192,BN3214,23/06/2017,05/04/1936,"10099 Park Stream
South Aprilfurt, RI 40191",2.75E+11,84852799725,3443171840,N���
maRk SaUNderS,75,Male,Arthritis,12/06/2021,David Marshall,31491.61471,Urgent,15/06/2021,Ibuprofen,Abnormal,HOSO8727,NV305,BN6578,29/07/1961,01/10/2015,"USNV Carey
FPO AP 79734",5.63E+11,84060646895,9457087087,Tim m��
